fr	zh
Professionnellement, le personnel de santé présente un risque plus élevé par rapport aux autres, avec des clusters de maladie parmi les travailleurs et dans les établissements médicaux.	从职业角度来看，相比其他工作人员之间或医疗环境中出现疾病集群的人员，医疗工作者所面临的风险更高。
La durée entre l’exposition au virus et l’apparition des symptômes (période d’incubation) est généralement de 2 à 14 jours, même si pour un cas signalé en Chine, les symptômes sont apparus 27 jours après l’exposition.	从接触病毒到出现症状一般间隔（潜伏期）2-14 天，不过中国曾报告一例接触病毒后 27 天才出现症状的病例。
Au mois de février 2020, la période de contagiosité était inconnue, mais elle est probablement plus importante lorsque les personnes sont symptomatiques.	截至 2020 年 2 月，传染期尚不清楚，但出现症状后的传染性很可能最强。
Une transmission par des personnes asymptomatiques a été mise en évidence, mais l’ampleur de ce phénomène est encore à l’étude.	有证据显示，无症状者也会传播病毒，尽管其传播程度目前还在调查当中。
La possibilité d’une réinfection par le virus après en avoir guéri une première fois n’a pas été clairement établie.	目前尚不清楚首次染病康复后是否还具有再次被病毒感染的可能性。
Les effets à long terme chez les personnes ayant guéri ne sont toujours pas clairement établis, mais une réduction de la capacité pulmonaire a été mise en évidence chez certains patients guéris.	病毒对已康复群体的长期影响也尚不清楚，但有证据表明部分康复患者的肺活量有所降低。
Le dépistage du virus consiste généralement à introduire un écouvillon dans le nez ou à effectuer un prélèvement dans la gorge, lequel est analysé par un laboratoire pour détecter le virus.	病毒检测方式通常为在实验室分析鼻拭子或咽拭子，确定是否感染了病毒。
Le test de « référence » actuel implique d’extraire le matériel génétique du prélèvement et de l’analyser pour y détecter les marqueurs génétiques connus du virus.	当前“黄金标准”检测涉及从样本中提取遗传物质，并进行分析，以寻找已知的病毒遗传标记。
Il n’existe aucun test reconnu de dépistage du virus ou des anticorps dans le sang, bien que des tests soient en cours de développement.	目前尚无通过血液评估病毒或抗体的检测方法，不过检测方法已在开发中。
Il n’existe aucun test pour établir l’immunité au virus.	没有确定病毒免疫的检测。
De nombreux gouvernements de par le monde ont conseillé à leurs citoyens de ne pas voyager sans raison valable pendant la pandémie.	各国政府均建议公民在疫情期间取消所有不必要的出行。
De nombreuses compagnies aériennes et tour-opérateurs vous facilitent la tâche en annulant les frais d’annulation et de modification.	很多航空公司和度假套餐均已免除取消和变更手续费，方便人们取消出行活动。
Évitez particulièrement de partir en croisière.	尤其要避免乘坐游轮。
Les voyageurs âgés et ceux souffrant d'une affection sous-jacente sont les plus à risque et doivent éviter tout voyage qui les met en danger, notamment les longs vols, les visites de lieux très fréquentés et, en particulier, les croisières, même en dehors des régions gravement touchées.	老年旅行者和患有基础性疾病的患者风险最大，应避免有风险的行程，如乘坐长途飞机或前往人群密集场所，尤其要避免乘坐游轮，即使不在疫情严重地区。
Dans les régions touchées, la plupart des experts recommandent de pratiquer ce que l’on appelle la distanciation sociale.	在疫区，大部分专家建议保持社交距离。
Cela signifie limiter ses contacts avec les autres, en maintenant une distance de deux mètres ou six pieds avec eux et en évitant les rassemblements.	也就是与他人保持 6 英尺或 2 米的距离并避免聚集，以尽可能减少与他人的接触。
Certaines régions autorisent les petits groupes, d’autres interdisent tous les rassemblements.	有的地区允许小团体聚集；有的地区则严禁各类聚集。
Les mesures que vous êtes encouragé à prendre incluent de travailler à domicile lorsque cela est possible, d’éviter la foule et d’éviter de quitter votre domicile, sauf nécessité absolue.	建议措施包括尽可能居家办公，除非绝对必要，尽可能避开人群并避免离家外出。
Si vous devez sortir, essayez de maintenir une distance d’au moins 2 mètres (6 pieds) avec les autres.	如果必须外出，尽可能与他人保持至少 2 米（6 英尺）的距离。
Dans de nombreux endroits, ces mesures sont obligatoires.	很多地区要求遵守这些措施。
Respectez les pratiques d’hygiène telles que celles permettant de prévenir la grippe.	像预防流感一样，养成良好的卫生习惯。
Lavez-vous les mains fréquemment à l’eau chaude et au savon, puis séchez-les-vous à l’aide d’une serviette propre.	勤用肥皂和温水洗手，用干净毛巾擦干。
Étant donné que les coronavirus sont des virus enveloppés, le lavage des mains au savon tue le virus en désorganisant l’enveloppe virale principalement lipidique.	冠状病毒是一种包膜病毒，用肥皂洗手可以破坏主要由脂肪组成的病毒包膜，从而杀死病毒。
Pour que le lavage des mains soit efficace, il est nécessaire de se frotter les mains pendant au moins 20 secondes.	搓洗至少 20 秒才能达到洗手的效果。
Le séchage des mains lavées permet de physiquement éliminer certains germes de la peau (alors ne sautez pas cette étape et ne partagez pas les serviettes).	洗手后用毛巾擦干可有效去除皮肤上的一些细菌（所以不要跳过此步，也不要与他人共用毛巾）。
En l’absence de savon et d’eau, utilisez une solution hydro-alcoolique &amp; gt; 60 %.	如果无法获得肥皂及水，可以用浓度超过 60% 的酒精洗手液洗手。
L’alcool étant un germicide rapide, mais pas tout à fait instantané, il faut là encore se frotter les mains pendant 20 secondes, en veillant à humidifier tous les recoins de la peau, puis attendre une minute supplémentaire jusqu’à ce que l’alcool sèche complètement.	酒精能够快速杀死细菌，但并非即时有效，所以也需要搓洗至少 20 秒，确保每一块皮肤都被浸湿，洗后至少等待一分钟，直至酒精晾干。
Évitez de vous toucher les yeux, le nez et la bouche avec les mains.	请勿用手触摸眼鼻口部。
La plupart des gens se touchent le visage à quelques minutes d’intervalle tout au long de la journée.	大部分人时不时会摸摸自己的脸。
Essayez de le faire moins et de vous laver les mains avant de vous toucher le visage.	请尽量减少触摸脸部，摸脸前请清洗双手。
Essayez également d’éviter de toucher des surfaces que vous n’avez pas besoin de toucher, tout du moins à mains nues.	此外，尽量避免触摸不必要的表面，至少应避免直接用手触摸。
Toussez et éternuez dans le pli du coude ou un mouchoir, puis jetez le mouchoir et lavez-vous les mains immédiatement.	咳嗽和打喷嚏时应用手肘或纸巾捂住口鼻，随后应立即扔掉纸巾并清洗双手。
Ne vous tenez pas et ne vous asseyez pas près de gens qui sont susceptibles d’être malades.	不要站在或坐在可能患者旁边。
Maintenez une distance d’au moins un mètre et idéalement de deux mètres (six pieds).	与他人至少保持 1 米距离，最好是 2 米（6 英尺）。
Pour évaluer cette distance rapidement, imaginez que vous et l’autre personne tendiez les mains l’un vers l’autre.	为简单目测这一距离，可以想象与对方一起伸出手互够。
Pourriez-vous toucher la main de l’autre personne sans devoir faire un pas vers elle ?	站立不动是否可以够到对方的手？
Si la réponse est oui, vous êtes trop près.	如果可以，则表明距离太近。
Nettoyez les objets et les surfaces que beaucoup de gens touchent, comme les poignées de porte, les téléphones et les télécommandes de télévision à l’aide d’un nettoyant ménager ordinaire.	用普通家用清洁剂清洁多人接触过的物体和表面，如门把手、电话和电视遥控器。
Désinfectez les surfaces à l’aide d’un désinfectant approprié, tel que de l’eau de Javel ménagère diluée.	用适当的消毒剂进行表面消毒，如稀释的家用漂白剂。
Restez chez vous si vous êtes malade et évitez tout contact avec les autres jusqu’à ce que vos symptômes aient disparu.	万一生病要居家隔离，在症状消失前应避免接触他人。
Ne partagez pas d’objets personnels qui entrent en contact avec la salive, comme les brosses à dents, les couverts, les boissons, les bouteilles d’eau et les serviettes.	不要与他人共用可能会沾染唾液的个人物品，如牙刷、餐具、饮料、水杯和毛巾。
La pratique consistant à se servir dans une assiette commune à l’aide de baguettes, courante en Chine, doit être évitée.	在中国，常会出现多人用筷子共食一道菜的现象，这种用餐习惯应避免。
Saluez les gens sans les toucher.	打招呼应采用无接触方式。
Évitez les embrassades, la bise, les poignées de main, les poing-à-poing et tout autre contact.	避免拥抱、亲吻、握手、碰拳和任何其他接触。
S’il est impossible d’éviter un contact, lavez-vous les mains avant et après.	如果没有办法避免接触，则接触前后要清洗双手。
Cela ne vous protègera pas contre le coronavirus, mais vous protégera partiellement contre la grippe, qui pose toujours un plus grand risque que la COVID-19 dans de nombreuses régions.	这种做法无法避免感染新型冠状病毒，但有助于预防流感。在很多地方，流感的感染风险依然高于 COVID-19。
Cela vous évite également de vous inquiéter inutilement si vous contractez la grippe et pensez qu’il s’agit peut-être du coronavirus.	这样也可避免一些不必要的担忧，比如患流感后误以为是冠状病毒感染。
Si vous êtes âgé ou appartenez à un autre groupe à haut risque et pouvez vous faire vacciner contre la pneumonie, faites-le.	如果你是老年人或其他高危人群，可以接种肺炎疫苗时应当接种。
Cela ne vous protégera pas contre la pneumonie virale due à la COVID-19, mais certains patients souffrant de la COVID-19 sont décédés d’une pneumonie bactérienne qui s’est attaquée à leurs poumons affaiblis, et la vaccination contre la pneumonie pourrait donc bien vous sauver la vie.	虽然无法避免你感染 COVID-19，但部分 COVID-19 患者实际上死于攻击虚弱肺部的细菌性肺炎，所以接种肺炎疫苗在一定程度上也可挽救你的生命。
Le port d’un masque est recommandé pour tous ceux suspectés d’être porteurs de la maladie et ceux en contact étroit avec des personnes infectées.	对于那些疑似携带病毒或密切接触过被感染者的群体，建议佩戴口罩。
Pour les personnes asymptomatiques, l’OMS ne recommande pas les masques, bien que certains gouvernements nationaux le fassent.	对于无症状群体，WHO 不建议佩戴口罩，但一些国家政府会建议佩戴口罩。
Le port d’une forme quelconque de masque est obligatoire dans certains pays et villes dans le but de réduire la transmission communautaire.	为减少社区传播，一些国家和城市会要求佩戴某种类型的口罩。
Une pénurie de masques chirurgicaux sévit dans le monde entier.	现在全球均面临医用外科口罩紧缺现象。
Si vous portez un masque, veillez à l’utiliser correctement.	如果佩戴口罩，请确保正确佩戴。
Le masque doit couvrir votre nez et votre bouche, et être bien ajusté, sans bâillements.	口罩应遮住口鼻，且应大小匹配，避免留缝。
Lavez-vous les mains avant de mettre le masque et évitez de le toucher lorsque vous le portez.	戴口罩前要洗手，戴口罩后要避免触摸口罩。
Si vous le touchez, lavez-vous les mains immédiatement.	如果触摸了口罩，触摸后应立即洗手。
Lorsque le masque devient humide, jetez-le et remplacez-le.	口罩潮湿后，应丢弃并更换。
Retirez-le par l’arrière, jetez-le, puis lavez-vous les mains.	从后面取下口罩并丢弃，然后洗手。
N’oubliez pas que les masques ne remplacent pas une bonne hygiène : continuez à vous laver les mains fréquemment.	请记住，即使带了口罩，也要保持良好的卫生习惯：继续勤洗手。
Ne vous approvisionnez pas en masques si vous n’en avez pas besoin.	如果不需要口罩，请不要囤积。
En raison de la pénurie de masques, les professionnels de la santé ont des difficultés à se procurer des masques, ce qui met tout le monde en danger.	口罩紧缺意味着医疗人员也难以获得口罩，这将提高所有人的风险等级。
Cela vaut pour les masques respiratoires N95, qui ne sont pas recommandés pour le grand public : il s’agit d’un matériel spécialisé qui doit être correctement ajusté pour une efficacité optimale.	其中包括不推荐普通大众使用的 N95 口罩，这是一种专业防护装备，旨在发挥最佳效果。
Laissez-les aux professionnels de la santé.	请将这类口罩留给医疗人员。
Évitez les endroits très fréquentés, particulièrement les endroits fermés avec une faible circulation d’air tels que les conférences, les spectacles, les centres commerciaux, les transports en commun et les services religieux.	避免去人多的地方，尤其是空气流通不畅的封闭区域，如会议室、表演场所、购物中心、公共交通工具和宗教礼拜场所。
Les événements impliquant un grand rassemblement de personnes, des pèlerinages religieux aux concerts, sont annulés dans le monde entier en vue de contenir la propagation du virus.	从宗教朝圣到音乐会，全球已取消各种大规模人群聚集活动，以努力控制病毒的扩散。
Les attractions touristiques, les entreprises et les transports peuvent être fermés, particulièrement dans les pays touchés.	旅游景点、商家和交通运输可能均已关闭，尤其是在疫情国家。
Certains événements annulés, en particulier les spectacles, les événements sportifs et les cours, sont proposés en ligne, ce qui signifie que vous pouvez y assister sans vous déplacer.	一些已取消的活动，尤其是表演、体育赛事和课程，已转移到网上，人们不用出行也可体验。
Dans les stations-services, utilisez des gants ou essuyez la poignée à l’aide d’une lingette désinfectante dans la mesure du possible.	在加油站加油时，请尽可能使用手套或消毒抹布擦拭把手。
Après avoir fait le plein, lavez-vous les mains à l’aide d’une solution hydro-alcoolique.	加满油后，请用洗手液洗手。
Les gouvernements américain et canadien recommandent d’éviter de voyager sur un paquebot de croisière.	美国和加拿大政府建议避免乘坐游轮出行。
Les infections se propagent facilement à bord, et les services médicaux y sont limités.	船上极易发生传染，而且医疗条件有限。
En cas d’épidémie sur un paquebot de croisière, les quarantaines et les mises à quai posent problème, notamment en raison du grand nombre de personnes à bord.	如果在游轮上爆发疫情，鉴于载客人数众多，隔离和停靠均面临挑战。
Même les paquebots de croisière sans cas confirmés se sont vu refuser l’autorisation de mise à quai en raison des craintes suscitées par le virus et, dans le cas très médiatisé du Diamond Princess au Japon, des centaines de personnes ont été infectées à bord.	即使是船上无确诊病例，一些码头也会因害怕病毒而拒绝停靠，在日本备受关注的钻石公主号事件中，有数百名乘客被感染。
Si vous pensez être infecté, appelez un hôpital ou les services d’aide médicale d’urgence locaux plutôt que de vous y rendre en personne, afin d’éviter d’infecter les autres.	如果你怀疑自己被感染了，请呼叫医院或当地急救医疗服务机构，不要私自前往，以避免传染他人。
Indiquez vos symptômes et l’historique de vos déplacements.	说明你的症状和出行轨迹。
Portez un masque médical et suivez les instructions des autorités et des médecins.	佩戴医用口罩，并按照官方机构和医生的指示行事。
Voir également : vol et santé	另请查看：航班与健康
En avion, adoptez les mêmes pratiques d’hygiène que partout ailleurs : lavez-vous les mains fréquemment ou utilisez une solution hydro-alcoolique s’il n’est pas pratique de quitter votre siège, et évitez de vous toucher le visage.	在飞机上，遵循与其他地方一样的卫生习惯：勤洗手，如果不便离开座位则使用酒精洗手液，避免触摸脸部。
Des chercheurs ont constaté que les passagers assis dans les sièges côté hublot ont un risque moins élevé de contact avec des personnes malades.	研究人员发现，靠窗乘客与患者接触的风险较小。
Essayez de réserver un siège côté hublot et évitez de vous déplacer dans la cabine pendant le vol.	尽量预订靠窗位置，飞行过程中避免在机舱内走动。
Après vous être lavé les mains et avant de vous asseoir, utilisez des lingettes désinfectantes pour essuyer la zone autour de votre siège.	洗手后入座前，要用消毒湿巾擦拭座位周围区域。
Essuyez les surfaces dures et, si votre siège est en cuir, essuyez-le également.	擦拭坚硬表面，如果是真皮座椅，也可擦拭。
N’essuyez pas un siège en tissu car l’humidité peut faciliter la transmission.	如果是布艺座椅，不要擦拭，因为潮湿有利于传播。
Lors de l’utilisation de lingettes désinfectantes, suivez les instructions indiquées sur l’emballage.	消毒湿巾请按照包装上的说明使用。
Et n’oubliez pas, les virus entrent par la bouche, le nez et les yeux : cela ne fait pas de mal d’essuyer la zone, mais cela ne remplace pas une bonne hygiène.	请记住，病毒可通过口鼻眼部进入人体，擦拭上述区域虽有帮助，但不能代替正确的卫生措施。
Lavez-vous les mains et évitez de vous toucher le visage.	勤洗手并避免触摸脸部。
Utilisez également un mouchoir pour toucher l’écran ou d’autres commandes.	在触摸屏幕或其他控件时用纸巾裹住手操作。
Aux toilettes, utilisez les serviettes en papier pour fermer le robinet et ouvrir la porte, puis jetez-les.	上厕所时，用纸巾裹住手来关闭水龙头、开门，然后扔掉纸巾。
Les compagnies aériennes des régions touchées prennent actuellement des mesures pour réduire la transmission et assurer la sécurité des passagers.	疫区的航空公司正采取措施减少传播和保护乘客安全。
Par exemple, cela peut impliquer de nettoyer les installations plus souvent, de permettre au personnel de cabine de porter un masque et de servir des repas préemballés plutôt que réchauffés à bord.	其措施可能包括增加设施清洁频率，允许空乘人员佩戴口罩，供应预先包装而非现场加热的食物。
Si un groupe de passagers en correspondance provient d’une région touchée par une épidémie sévère, le personnel de cabine pourra peut-être les faire s'asseoir à l’écart du reste des passagers (et si vous vous êtes récemment rendu dans une région à haut risque, envisagez de le signaler au personnel de cabine pour cette raison).	如果有乘客从疫情严重地区转机，空乘人员可安排其坐在远离其他乘客的位置（如果你近期到过高风险地区，出于这一原因，请考虑告知空乘人员）。
Il se peut que vous n’ayez pas le droit de changer de siège pendant le vol.	空乘人员可能会禁止你在机上调换座位。
Si un passager du vol est infecté, cette mesure permet aux autorités de retrouver les personnes assises à côté de lui pour les tester ou les mettre en quarantaine.	这是为了万一飞机上有人被感染，官方机构能够追踪到其座位附近的乘客，以便进行检测或隔离。
Le traitement de la COVID-19 consiste à soulager les symptômes et prévenir les complications.	针对 COVID-19，治疗重点在于缓解症状和预防并发症。
Il n’existe pas de vaccin, ni de traitement spécifique pour le nouveau coronavirus.	目前还没有针对新型冠状病毒的疫苗或特效治疗方案。
Des recherches sur un vaccin ou un traitement antiviral spécifique sont en cours.	疫苗或特效抗病毒药还在研究当中。
Plusieurs essais sont réalisés à l’aide de médicaments contre le VIH et d’autres nouveaux médicaments antiviraux pour le traitement de la COVID-19.	有很多使用抗艾滋药物和其他新型抗病毒药物治疗 COVID-19 的试验正在进行。
Les symptômes légers peuvent être soulagés par la prise de paracétamol (acétaminophène).	服用扑热息痛（对乙酰氨基酚）可缓解轻度症状。
Si vous êtes infecté par le virus de la COVID-19, les pays vous isoleront jusqu’à ce que plusieurs tests consécutifs de dépistage de la COVID-19 soient négatifs.	如果你感染了 COVID-19，国家将对你采取隔离措施，直至连续多次的 COVID-19 检测呈阴性。
Si vous avez été en contact étroit avec une personne infectée par le virus de la COVID-19, de nombreux pays vous mettront en quarantaine pendant 14 jours à compter de la dernière exposition et vous placeront sous surveillance pour déceler les signes et symptômes.	如果你与感染 COVID-19 的患者有过密切接触，很多国家会自最后一次接触后实施为期 14 天的隔离，并监控你的症状和体征。
Certains pays vous testeront également même si vous ne présentez aucun symptôme.	在有些国家，即使无症状，可能也会对你进行检测。
Dans de nombreux pays, le système de santé a été mis à rude épreuve au point de ne pas être en mesure de prendre en charge le grand nombre de patients, et il se peut que vous vous voyiez refuser un traitement en raison du manque de personnel, fournitures et équipements médicaux.	很多国家的医疗系统已濒临崩溃，无法应付如此庞大的患者数量，甚至可能由于医务人员、用品或设备不足，拒绝给患者治疗。
De nombreux pays ont suspendu ou considérablement limité les vols, les navires, ainsi que les franchissements de frontières, particulièrement à destination et en provenance des régions touchées.	很多国家已关闭或严格限制航班、船只和边境口岸，尤其是往来疫区的航班、船只和边境口岸。
Un plus grand nombre de pays encore a imposé des restrictions aux voyageurs à l’arrivée, soit en refusant l’entrée (sauf peut-être aux citoyens et résidents permanents du pays), soit en vous imposant une quarantaine, généralement de 14 jours.	更多国家对入境旅客实施了限制，有的严格禁止入境（当地居民和永久居民除外），有的则要求进行隔离，通常为 14 天。
Même si une quarantaine obligatoire n’est pas imposée, il peut vous être demandé de vous mettre en « auto-quarantaine » en restant chez vous et en évitant toute interaction avec les autres.	即使没有实施强制隔离，也可能建议你居家“自我隔离”，不与他人接触。
Les restrictions les plus strictes concernent les voyageurs qui se trouvaient récemment dans des régions touchées mais, de plus en plus, de nombreux pays les appliquent à tous les voyageurs entrants.	最严格的限制是对近期到过疫区的旅行者的限制，但越来越多的国家已经开始对所有入境旅行者实施这些限制。
Certains pays refusent même l’entrée à tous ou pratiquement tous les étrangers, ou limitent la capacité des citoyens et résidents locaux à partir.	有些国家甚至还会禁止所有或几乎所有外国人入境，或限制当地公民和居民离境。
Quelles sont les régions touchées ?	什么是疫区？
Il s’agit ici d’une situation évoluant rapidement, et chaque pays/région/organisation a sa propre liste de zones soumises à restrictions.	疫区范围变化很快，每个国家/地区/组织都有自己的限制区域列表。
La ville de Wuhan figure sur toutes les listes, et le reste de la Chine continentale sur la plupart.	所有列表中均有武汉，大部分列表中还列有中国大陆其余地区。
Les autres zones souvent incluses comprennent notamment : la France, l’Allemagne, Hong Kong, l’Iran, l’Italie, le Japon, Macao, Singapour, la Corée du Sud, l’Espagne, Taïwan, le Royaume-Uni, les États-Unis, l’espace Schengen dans sa totalité et parfois d’autres zones diverses.	列表中常见的其他区域还包括：法国、德国、中国香港、伊朗、意大利、日本、中国澳门、新加坡、韩国、西班牙、中国台湾、英国、美国、整个申根地区，有时还包括其他很多地区。
Certains pays imposent des restrictions aux citoyens et résidents des zones sévèrement touchées.	一些国家会对来自疫情严重地区的公民或居民实施限制。
Une liste détaillée des restrictions d’entrée est tenue à jour par l’IATA.	入境限制详细列表由 IATA 维护。
Elle ne couvre pas toutes les restrictions, mais est quand même utile.	虽然不够全面，但仍然很有价值。
Tenez-vous au courant : l’épidémie et les restrictions de voyage évoluent rapidement.	持续更新——疫情爆发和出行限制也在快速变化。
Pour les voyages dans un avenir proche, envisagez d’effectuer des réservations remboursables pour le cas où l’évolution de la situation vous contraindrait à modifier vos plans.	近期如需出行，请考虑预订可退款客房，以防情况有变时更改计划。
Évitez d’acheter des billets avec une correspondance dans une région touchée : un simple changement d’avion peut vous soumettre à des restrictions.	避免购买在疫区转机的机票，即使是换乘，你也可能会受到一些限制。
Les vols peuvent être annulés avec un court préavis, soit en raison de la propagation de la maladie et des restrictions d’entrée en constante évolution, soit tout simplement parce que moins de gens prennent l’avion et que les compagnies aériennes ont du mal à remplir les sièges.	航班可能会在毫无通知的情况下取消，原因包括疫情扩散和入境限制不断变化，或者仅仅因为乘客减少，机上座位无法坐满。
Vous pouvez également être retardé des heures à l’arrivée pour les contrôles de température, et les procédures et formalités associées, voire être mis en quarantaine pendant deux semaines.	此外，抵达目的地后，你可能还要花数小时等待体温检测和相关程序与申报流程，甚至可能被隔离两周。
Soyez préparé à la perturbation éventuelle de vos plans de voyage, particulièrement si vous vous rendez à l’étranger.	请随时做好出行计划中断的准备，尤其是国际行程。
Même si vous êtes très loin des régions touchées, vous risquez de devoir rester plus longtemps que prévu au lieu de destination si vous vous êtes trouvé dans le même bâtiment ou navire qu’une personne infectée.	即使不在疫区附近，如果你所在大楼或交通工具上发现感染者，你在目的地的停留时间也可能延长。
Fin février, par exemple, la COVID-19 a été diagnostiquée chez un médecin italien en vacances à Costa Adeje (îles Canaries) et, en conséquence, tous les clients de l’hôtel dans lequel il séjournait ont été mis en quarantaine.	例如，2 月下旬，一位在奥德杰海岸（加那利群岛）度假的意大利医生被确诊患有 COVID-19，结果他所住酒店的所有客人均被隔离。
Confinements et autres restrictions internes	封锁和其他国内限制
Certains pays et régions, particulièrement ceux qui sont sévèrement touchés, appliquent un confinement d’urgence, ainsi que des restrictions visant les déplacements et les activités des gens, même pour ceux qui n’ont pas été récemment à l’étranger.	一些国家和地区，特别是严重疫区，正在实施紧急封锁，以限制人们的出行和活动，即使是近期未曾出国的人员。
Celles-ci incluent la réintroduction temporaire de certains contrôles frontaliers, les restrictions sur les déplacements au sein du pays, la fermeture ou la limitation de l’activité des restaurants et d’autres établissements, l’interdiction des grands événements publics et, dans les cas les plus sévères, l’interdiction de quitter son domicile, sauf pour raisons essentielles.	措施包括暂时重启边境管制，限制国内出行，关闭或限制餐馆和其他场所提供服务，禁止大型公共活动，最严重时还会禁止居民离家外出，除非绝对必要。
En plus des restrictions gouvernementales, des établissements individuels ferment leurs portes et annulent des événements afin d’essayer de réduire la propagation du virus.	除了政府限制外，个别设施也会关闭，取消活动，努力减少病毒扩散。
En Chine, d’importantes restrictions variant considérablement selon la province, la ville, voire le district ou le village ont été mises en place sur les transports et l’activité.	在中国，交通和活动受到广泛限制，具体限制因省、市、甚至地区或村庄而存在巨大差异。
De nombreux gouvernements déconseillent de se rendre en Chine pour le moment.	很多政府建议这段时间避免前往中国。
Si vous n’avez pas le choix, renseignez-vous et obtenez des informations à jour sur la situation locale de votre destination.	如果你没有其他选择，请自行调查，及时了解有关你的目的地的最新信息。
Les personnes qui se sont rendues dans la province de Hubei sont soumises à des restrictions particulièrement sévères.	到过湖北的人员尤其会受到严格限制。
Exemples de restrictions possibles dans certaines parties de la Chine (cette liste n’est pas exhaustive) :	在中国部分地区你可能会受到的限制包括（以下是非详尽列表）：
Quarantaine de 14 jours, auto-quarantaine ou test de dépistage de la COVID-19 à l’arrivée en provenance d’autres parties de la Chine ou d’autres pays, à vos frais	从中国其他地区或其他国家抵达后，接受为期 14 天的隔离、自我隔离或 COVID-19 检测，费用自理。
Questions sur votre voyage ou vos antécédents médicaux (mentir peut être passible de plusieurs années d’emprisonnement)	询问你的活动轨迹和病史（瞒报有可能入狱）
Enregistrement obligatoire à l’aide d’un formulaire en ligne ou papier	使用在线或纸质表格强制登记
Obligation de porter un masque de protection en public	要求在公共场所佩戴口罩
Interdiction de se rendre dans les endroits publics tels que les centres commerciaux pour les personnes ayant séjourné en dehors de la Chine au cours des 14 derniers jours	从国外回到中国后 14 天内不得进入商场等公共区域
Paiement mobile uniquement, pas d’espèces, dans les magasins	商店仅接受移动付款，不收现金
Service refusé aux citoyens étrangers dans les restaurants, les transports et d’autres établissements	餐厅、交通和其他机构拒绝向非中国公民提供服务
Réduction ou arrêt complet de nombreux modes de transport	很多交通运输工具已管控或停运
Enregistrement obligatoire sous son vrai nom pour les cartes de transport en commun	强制实名登记公交卡
Bouclage complet d’une ville, d’un village ou d’une métropole	完全封锁城镇、村庄或城市出入通道
Interdiction d’entrer dans des complexes résidentiels pour les personnes qui n’y habitent pas	非居民游客不得进入公寓楼
Autorisation de sortir uniquement tous les deux jours pour faire des courses	仅允许每两天外出一次获取补给
Fermeture des entreprises et attractions, et cessation d’activités	商业场所、活动和景点关闭
Entreprises nécessitant l'autorisation du gouvernement local pour rouvrir	商业场所需当地政府批准才可复开
Obligation de maintenir une distance minimum entre les clients dans les restaurants (s’ils sont ouverts)	餐馆（如果依然开放）要求顾客之间保持安全距离
Vente de masques de protection de qualité inférieure à la qualité standard passible d’une peine maximum d’emprisonnement à vie	销售不合格口罩最高可判处无期徒刑
À la mi-mars 2020, l’Europe est l’épicentre de l’épidémie, et de nombreux pays européens ont fermé leurs frontières aux voyages internationaux : seuls les transfrontaliers et le fret sont autorisés à passer.	截至 2020 年 3 月中旬，欧洲仍为疫情中心，很多欧洲国家已经关闭国际边境通道，仅允许边境通勤者和货物通过。
Par ailleurs, les entreprises autres que les magasins d’alimentation et les pharmacies sont fermées, et les transports en commun ont été réduits ou arrêtés.	此外，除食品店和药店以外的其他商业店铺均已关闭，公共交通也已管控或停运。
Dans les pays les plus touchés, y compris en Italie, en Espagne et en France, un confinement a été mis en place, comme en Chine en janvier.	包括意大利、西班牙和法国在内的最严重疫区已实施中国在 1 月份实施的封锁措施。
De plus, l’UE a fermé ses frontières extérieures.	与此同时，欧洲还关闭了其外部边界。
La COVID-19 est également répandue en Amérique du Nord.	COVID-19 在北美也出现蔓延。
Les frontières entre le Canada, les États-Unis et le Mexique sont fermées aux déplacements non essentiels et, dans de nombreuses zones, les grands rassemblements sont interdits (ce qui signifie que les établissements tels que les restaurants sont fermés et que les événements sont annulés).	加拿大、美国和墨西哥之间的边境禁止非必要旅行，很多地区还禁止大型集会（餐馆等场所被迫关闭，活动被迫取消）。
De nombreux États, comtés et municipalités ont émis des ordonnances d’assignation à domicile qui impliquent la fermeture de toutes les entreprises non essentielles.	很多州、县和市司法管辖区也发布了居家令，要求停止所有非必要业务。
Avec de nombreux vols annulés, avertissements émis et restrictions imposées, prendre l’avion au temps du coronavirus peut s’avérer difficile.	随着大量航班的取消、警告的发布、限制的施加，疫情期间乘飞机出行面临极大挑战。
Certains itinéraires sont impossibles.	有些航线已经禁飞。
D’autres sont associés à des correspondances plus incommodantes que d’habitude, avec de nombreuses escales et de longs délais entre les vols.	其他未禁飞航线也比平时麻烦很多，飞行期间要多次停靠，还要等待很长时间。
Dans certains cas, cela signifie des billets plus chers.	一些情况下票价高昂。
En revanche, la bonne nouvelle est que de nombreux vols sont moins chers que d’habitude en raison de la baisse de la demande, et vous avez de bonnes chances d’avoir un siège vide à côté de vous.	当然也有好消息，有些航线的票价因需求下降，反而比平时便宜，而且你旁边的座位很可能是空的。
Prévoyez plus de temps pour vos correspondances, surtout en cas de transfert entre un vol international et un vol national, et plus particulièrement si votre itinéraire comprend un pays gravement touché.	应预留额外的转机时间，尤其是在从国际航班转为国内航班或行程涉及疫情严重国家的情况下。
Les dépistages, les contrôles de température, les formalités supplémentaires et l’attente associée peuvent signifier des minutes ou des heures avant que vous ne soyez autorisé à poursuivre votre voyage.	一些筛查、体温检测、额外文书以及相关等待可能会使您的旅程拖延数分钟或数小时。
